Place Name,County(ies)[B],Population,Area,Form of municipal charter[2],Incorporation,Region
Dyersburg,Dyer County,"17,145",17.47 sq mi (45.2 km2),Private act,1850,West
Eagleville,Rutherford County,604,2.31 sq mi (6.0 km2),Private act,1949,Middle
East Ridge,Hamilton County,"20,979",8.28 sq mi (21.4 km2),Home rule,1921,East
Eastview,McNairy County,705,4.89 sq mi (12.7 km2),Mayor-alderman,1967,West
Elizabethton,Carter County,"14,176",9.9 sq mi (26 km2),Modified manager-council,1799,East
Elkton,Giles County,578,2.16 sq mi (5.6 km2),Private act,1907,Middle
Englewood,McMinn County,"1,532",1.82 sq mi (4.7 km2),Private act,1919,East
Enville,Chester County,189,1.45 sq mi (3.8 km2),Private act,1953,West
Erin,Houston County,"1,324",4.09 sq mi (10.6 km2),Private act,1909,Middle
Erwin,Unicoi County,"6,097",4.04 sq mi (10.5 km2),Private act,1903,East
Estill Springs,Franklin County,"2,055",4.68 sq mi (12.1 km2),Mayor-alderman,1948,Middle
Ethridge,Lawrence County,465,1.17 sq mi (3.0 km2),Uniform manager-commission,1907,Middle
Etowah,McMinn County,"3,490",2.92 sq mi (7.6 km2),Home rule,1909,East
Fairview,Williamson County,"7,720",16.92 sq mi (43.8 km2),Uniform manager-commission,1959,Middle
Farragut,Knox County,"20,676",16.2 sq mi (42 km2),Mayor-alderman,1980,East
Fayetteville,Lincoln County,"6,827",10.96 sq mi (28.4 km2),Private act,1819,Middle
Finger,McNairy County,298,1.53 sq mi (4.0 km2),Mayor-alderman,1970,West
Forest Hills,Davidson County,"4,812",9.22 sq mi (23.9 km2),Uniform manager-commission,1957,Middle
Franklin,Williamson County,"62,487",41.45 sq mi (107.4 km2),Private act,1799,Middle
Friendship,Crockett County,668,1.3 sq mi (3.4 km2),Private act,1858,West
Friendsville,Blount County,913,3.01 sq mi (7.8 km2),Private act,1953,East
Gadsden,Crockett County,470,1.09 sq mi (2.8 km2),Private act,1868,West
Gainesboro,Jackson County,962,1.78 sq mi (4.6 km2),Private act,1905,Middle
Gallatin,Sumner County,"30,278",31.75 sq mi (82.2 km2),Private act,1801,Middle
Gallaway,Fayette County,680,6.13 sq mi (15.9 km2),Uniform manager-commission,1869,West
Garland,Tipton County,310,0.58 sq mi (1.5 km2),Private act,1913,West
Gates,Lauderdale County,647,0.70 sq mi (1.8 km2),Private act,1901,West
Gatlinburg,Sevier County,"3,944",10.35 sq mi (26.8 km2),Private act,1945,East
Germantown,Shelby County,"38,844",20 sq mi (52 km2),Private act,1841,West
Gibson,Gibson County,396,0.61 sq mi (1.6 km2),Private act,1909,West
Gilt Edge,Tipton County,477,2.76 sq mi (7.1 km2),Uniform manager-commission,1967,West
Gleason,Weakley County,"1,445",2.28 sq mi (5.9 km2),Private act,1903,West
Goodlettsville,Davidson County,"15,921",14.32 sq mi (37.1 km2),Uniform manager-commission,1858,Middle
Gordonsville,Smith County,"1,213",7.11 sq mi (18.4 km2),Private act,1909,Middle
Grand Junction,Hardeman County,325,1.18 sq mi (3.1 km2),Private act,1901,West
Graysville,Rhea County,"1,502",1.17 sq mi (3.0 km2),Private act,1917,East
Greenback,Loudon County,"1,064",8.09 sq mi (21.0 km2),Mayor-alderman,1957,East
Greenbrier,Robertson County,"6,433",7 sq mi (18 km2),Private act,1937,Middle
Greeneville,Greene County,"15,062",17.01 sq mi (44.1 km2),Private act,1795,East
Greenfield,Weakley County,"2,182",3.7 sq mi (9.6 km2),Private act,1905,West
Gruetli-Laager,Grundy County,"1,813",12.56 sq mi (32.5 km2),Mayor-alderman,1980,East
Guys,McNairy County,466,11.72 sq mi (30.4 km2),Mayor-alderman,1986,West
Halls,Lauderdale County,"2,255",3.67 sq mi (9.5 km2),Private act,1901,West
Harriman,Roane County,"6,350",10.57 sq mi (27.4 km2),Private act,1891,East
Harrogate,Claiborne County,"4,389",7.63 sq mi (19.8 km2),Mayor-alderman,1992,East
Hartsville,Trousdale County,"7,870",116.64 sq mi (302.1 km2),Consolidated city-county,1833,Middle
Henderson,Chester County,"6,309",7.86 sq mi (20.4 km2),Private act,1869,West
Hendersonville,Sumner County,"51,372",36.93 sq mi (95.6 km2),Mayor-alderman,1901,Middle
Henning,Lauderdale County,945,2.39 sq mi (6.2 km2),Private act,1875,West
Henry,Henry County,464,1.45 sq mi (3.8 km2),Private act,1907,West
Hickory Valley,Hardeman County,99,0.33 sq mi (0.85 km2),Private act,1951,West
Hohenwald,Lewis County,"3,757",5.35 sq mi (13.9 km2),Private act,1911,Middle
Hollow Rock,Carroll County,718,1.79 sq mi (4.6 km2),Private act,1869,West
Hornbeak,Obion County,424,0.7 sq mi (1.8 km2),Private act,1923,West
Hornsby,Hardeman County,303,1.18 sq mi (3.1 km2),Private act,1920,West
Humboldt,Gibson County,"8,452",9.71 sq mi (25.1 km2),Private act,1866,West
Huntingdon,Carroll County,"3,985",11.94 sq mi (30.9 km2),Private act,1849,West
Huntland,Franklin County,872,1.45 sq mi (3.8 km2),Private act,1907,Middle
Huntsville,Scott County,"1,248",3.93 sq mi (10.2 km2),Mayor-alderman,1856,East
Iron City,Lawrence County,328,0.93 sq mi (2.4 km2),Uniform manager-commission,1962,Middle
Jacksboro,Campbell County,"2,020",2.54 sq mi (6.6 km2),Mayor-alderman,1967,East
Jackson,Madison County,"65,211",53.73 sq mi (139.2 km2),Private act,1845,West
Jamestown,Fentress County,"1,959",2.9 sq mi (7.5 km2),Private act,1920,Middle
Jasper,Marion County,"3,279",9.47 sq mi (24.5 km2),Mayor-alderman,1852,East
Jefferson City,Jefferson County,"8,047",6.43 sq mi (16.7 km2),Private act,1901,East
Jellico,Campbell County,"2,355",6.38 sq mi (16.5 km2),Private act,1903,East
Johnson City,Washington County,"63,152",43.27 sq mi (112.1 km2),Home rule,1869,East
Jonesborough,Washington County,"5,051",5.14 sq mi (13.3 km2),Private act,1779,East
Kenton,Gibson County,"1,281",2.01 sq mi (5.2 km2),Private act,1899,West
Kimball,Marion County,"1,395",4.87 sq mi (12.6 km2),Mayor-alderman,1962,East
Kingsport,Sullivan County,"48,205",50.75 sq mi (131.4 km2),Private act,1917,East
Kingston,Roane County,"5,934",7.85 sq mi (20.3 km2),Private act,1799,East
Kingston Springs,Cheatham County,"2,756",9.92 sq mi (25.7 km2),Uniform manager-commission,1965,Middle
Knoxville,Knox County,"178,874",104.17 sq mi (269.8 km2),Home rule,1791,East
Lafayette,Macon County,"4,474",4.76 sq mi (12.3 km2),Private act,1843,Middle
La Follette,Campbell County,"7,456",4.91 sq mi (12.7 km2),Private act,1897,East
LaGrange,Fayette County,133,1.81 sq mi (4.7 km2),Private act,1831,West
Lakeland,Shelby County,"12,430",23.89 sq mi (61.9 km2),Uniform manager-commission,1977,West
Lakesite,Hamilton County,"1,826",1.68 sq mi (4.4 km2),Uniform manager-commission,1972,East
La Vergne,Rutherford County,"32,588",25.22 sq mi (65.3 km2),Mayor-alderman,1972,Middle
Lawrenceburg,Lawrence County,"10,428",12.67 sq mi (32.8 km2),Private act,1825,Middle
Lebanon,Wilson County,"26,190",38.64 sq mi (100.1 km2),Private act,1801,Middle
Lenoir City,Loudon County,"8,642",8.51 sq mi (22.0 km2),Home rule,1907,East
Lewisburg,Marshall County,"11,100",13.36 sq mi (34.6 km2),Private act,1837,Middle
Lexington,Henderson County,"7,652",12.42 sq mi (32.2 km2),Private act,1824,West
Liberty,DeKalb County,310,1.12 sq mi (2.9 km2),Private act,1850,Middle
Linden,Perry County,908,1.01 sq mi (2.6 km2),Private act,1850,Middle
Livingston,Overton County,"4,058",6.47 sq mi (16.8 km2),Private act,1907,Middle
Lobelville,Perry County,897,3.92 sq mi (10.2 km2),Mayor-alderman,1959,Middle
Lookout Mountain,Hamilton County,"1,832",1.26 sq mi (3.3 km2),Private act,1890,East
Loretto,Lawrence County,"1,714",3.94 sq mi (10.2 km2),Mayor-alderman,1949,Middle
Loudon,Loudon County,"5,381",14.23 sq mi (36.9 km2),Private act,1850,East
Louisville,Blount County,"2,439",13.51 sq mi (35.0 km2),Mayor-alderman,1990,East
Luttrell,Union County,"1,074",3.92 sq mi (10.2 km2),Private act,1925,East
Lynchburg,Moore County,"6,362",130.42 sq mi (337.8 km2),Consolidated city-county,1833,Middle
Lynnville,Giles County,287,0.33 sq mi (0.85 km2),Private act,1838,Middle
Madisonville,Monroe County,"4,577",6.21 sq mi (16.1 km2),Private act,1866,East
Manchester,Coffee County,"10,102",14.18 sq mi (36.7 km2),Private act,1838,Middle
Martin,Weakley County,"11,473",12.71 sq mi (32.9 km2),Private act,1901,West
Maryville,Blount County,"27,465",16.8 sq mi (44 km2),Private act,1795,East
Mason,Tipton County,"1,609",2.09 sq mi (5.4 km2),Private act,1869,West
Maury City,Crockett County,674,1.13 sq mi (2.9 km2),Private act,1911,West
Maynardville,Union County,"2,413",5.46 sq mi (14.1 km2),Uniform manager-commission,1870,East
McEwen,Humphreys County,"1,750",1.87 sq mi (4.8 km2),Private act,1917,Middle
McKenzie,Carroll County,"5,310",6.26 sq mi (16.2 km2),Private act,1868,West
McLemoresville,Carroll County,352,2.58 sq mi (6.7 km2),Private act,1949,West
McMinnville,Warren County,"13,605",11.07 sq mi (28.7 km2),Mayor-alderman,1868,Middle
Medina,Gibson County,"3,479",3.17 sq mi (8.2 km2),Private act,1907,West
Medon,Madison County,178,0.98 sq mi (2.5 km2),Private act,1860,West
Memphis,Shelby County,"646,889",324 sq mi (840 km2),Home rule,1826,West
Michie,McNairy County,591,5.62 sq mi (14.6 km2),Mayor-alderman,1961,West
Middleton,Hardeman County,706,1.92 sq mi (5.0 km2),Private act,1901,West
Milan,Gibson County,"7,851",8.91 sq mi (23.1 km2),Private act,1866,West
Milledgeville,McNairy County,265,1.61 sq mi (4.2 km2),Mayor-alderman,1903,West
Millersville,Sumner County,"6,440",13.71 sq mi (35.5 km2),Uniform manager-commission,1981,Middle
Millington,Shelby County,"10,176",31.75 sq mi (82.2 km2),Private act,1903,West
Minor Hill,Giles County,537,1.72 sq mi (4.5 km2),Mayor-alderman,1969,Middle
Mitchellville,Sumner County,189,0.52 sq mi (1.3 km2),Private act,1909,Middle
Monteagle,Grundy County,"1,192",8.59 sq mi (22.2 km2),Mayor-alderman,1962,Middle
Monterey,Putnam County,"2,850",3.06 sq mi (7.9 km2),Private act,1901,Middle
Morrison,Warren County,694,2.73 sq mi (7.1 km2),Private act,1905,Middle
Morristown,Hamblen County,"29,137",27.95 sq mi (72.4 km2),Private act,1867,East
Moscow,Fayette County,556,1.25 sq mi (3.2 km2),Private act,1860,West
Mosheim,Greene County,"2,362",6.13 sq mi (15.9 km2),Mayor-alderman,1974,East
Mount Carmel,Hawkins County,"5,429",6.94 sq mi (18.0 km2),Mayor-alderman,1961,East
Mount Juliet,Wilson County,"23,671",19.79 sq mi (51.3 km2),Home rule,1972,Middle
Mount Pleasant,Maury County,"4,561",12.32 sq mi (31.9 km2),Uniform manager-commission,1824,Middle
Mountain City,Johnson County,"2,531",3.31 sq mi (8.6 km2),Private act,1905,East
Munford,Tipton County,"5,927",8.56 sq mi (22.2 km2),Private act,1905,West
Murfreesboro,Rutherford County,"108,755",55.49 sq mi (143.7 km2),Private act,1903,Middle
Nashville,Davidson County,"626,681","525.94 sq mi (1,362.2 km2)",Consolidated city-county,1806,Middle
New Hope,Marion County,"1,082",10.4 sq mi (27 km2),Mayor-alderman,1974,East
New Johnsonville,Humphreys County,"1,951",7.08 sq mi (18.3 km2),Private act,1949,Middle
New Market,Jefferson County,"1,334",4.12 sq mi (10.7 km2),Mayor-alderman,1911,East
New Tazewell,Claiborne County,"3,037",5.13 sq mi (13.3 km2),Mayor-alderman,1887,East
Newbern,Dyer County,"3,313",4.88 sq mi (12.6 km2),Private act,1858,West
Newport,Cocke County,"6,945",5.53 sq mi (14.3 km2),Private act,1799,East
Niota,McMinn County,719,2.19 sq mi (5.7 km2),Private act,1911,East
Nolensville,Williamson County,"5,861",7.44 sq mi (19.3 km2),Mayor-alderman,1838,Middle
Normandy,Bedford County,141,0.23 sq mi (0.60 km2),Private act,1858,Middle
Norris,Anderson County,"1,491",7.19 sq mi (18.6 km2),Private act,1949,East
Oak Hill,Davidson County,"4,529",7.96 sq mi (20.6 km2),Uniform manager-commission,1952,Middle
Oak Ridge,Anderson County,"29,330",89.98 sq mi (233.0 km2),Home rule,1962,East
Oakdale,Morgan County,212,0.85 sq mi (2.2 km2),Private act,1911,East
Oakland,Fayette County,"6,623",10.29 sq mi (26.7 km2),Private act,1919,West
Obion,Obion County,"1,119",1.51 sq mi (3.9 km2),Private act,1903,West
Oliver Springs,Anderson County,"3,231",5.56 sq mi (14.4 km2),Private act,1903,East
Oneida,Scott County,"3,752",9.49 sq mi (24.6 km2),Private act,1905,East
Orlinda,Robertson County,859,6.7 sq mi (17 km2),Uniform manager-commission,1965,Middle
Orme,Marion County,126,4.14 sq mi (10.7 km2),Private act,1935,East
Palmer,Grundy County,672,4.94 sq mi (12.8 km2),Private act,1925,Middle
Paris,Henry County,"10,156",13.03 sq mi (33.7 km2),Uniform manager-commission,1849,West
Parker's Crossroads,Henderson County,330,3.73 sq mi (9.7 km2),Uniform manager-commission,1981,West
Parrottsville,Cocke County,263,0.74 sq mi (1.9 km2),Private act,1923,East
Parsons,Decatur County,"2,373",4.14 sq mi (10.7 km2),Private act,1913,West
Pegram,Cheatham County,"2,093",7.72 sq mi (20.0 km2),Mayor-alderman,1972,Middle
Petersburg,Lincoln County,544,0.94 sq mi (2.4 km2),Private act,1837,Middle
Philadelphia,Loudon County,656,1.6 sq mi (4.1 km2),Mayor-alderman,1968,East
Pigeon Forge,Sevier County,"5,875",13.21 sq mi (34.2 km2),Uniform manager-commission,1961,East
Pikeville,Bledsoe County,"1,608",2.44 sq mi (6.3 km2),Private act,1911,East
Piperton,Fayette County,"1,445",27.3 sq mi (71 km2),Uniform manager-commission,1974,West
Pittman Center,Sevier County,502,6.07 sq mi (15.7 km2),Mayor-alderman,1974,East
Plainview,Union County,"2,125",6.5 sq mi (17 km2),Mayor-alderman,1992,East
Pleasant Hill,Cumberland County,563,1.56 sq mi (4.0 km2),Private act,1903,East
Pleasant View,Cheatham County,"4,149",12.52 sq mi (32.4 km2),Mayor-alderman,1921,Middle
Portland,Sumner County,"11,480",14.28 sq mi (37.0 km2),Private act,1905,Middle
Powell's Crossroads,Marion County,"1,322",5.04 sq mi (13.1 km2),Mayor-alderman,1976,East
Pulaski,Giles County,"7,870",7.22 sq mi (18.7 km2),Private act,1809,Middle
Puryear,Henry County,671,0.92 sq mi (2.4 km2),Private act,1909,West
Ramer,McNairy County,319,1.71 sq mi (4.4 km2),Uniform manager-commission,1958,West
Red Bank,Hamilton County,"11,651",6.52 sq mi (16.9 km2),Home rule,1945,East
Red Boiling Springs,Macon County,"1,112",1.75 sq mi (4.5 km2),Private act,1953,Middle
Ridgely,Lake County,"1,795",1.71 sq mi (4.4 km2),Private act,1909,West
Ridgeside,Hamilton County,390,0.17 sq mi (0.44 km2),Private act,1925,East
Ridgetop,Robertson County,"1,874",2.91 sq mi (7.5 km2),Private act,1935,Middle
Ripley,Lauderdale County,"8,445",12.85 sq mi (33.3 km2),Private act,1838,West
Rives,Obion County,326,0.35 sq mi (0.91 km2),Private act,1905,West
Rockford,Blount County,856,3.21 sq mi (8.3 km2),Uniform manager-commission,1970,East
Rockwood,Roane County,"5,562",8.07 sq mi (20.9 km2),Private act,1903,East
Rocky Top[9],Anderson County,"1,781",1.59 sq mi (4.1 km2),Private act,1939,East
Rogersville,Hawkins County,"4,420",3.4 sq mi (8.8 km2),Private act,1903,East
Rossville,Fayette County,664,5.06 sq mi (13.1 km2),Private act,1903,West
Rutherford,Gibson County,"1,151",2.3 sq mi (6.0 km2),Private act,1799,West
Rutledge,Grainger County,"1,122",4.69 sq mi (12.1 km2),Mayor-alderman,1797,East
St. Joseph,Lawrence County,782,3.52 sq mi (9.1 km2),Uniform manager-commission,1870,Middle
Saltillo,Hardin County,303,0.92 sq mi (2.4 km2),Private act,1951,West
Samburg,Obion County,217,0.82 sq mi (2.1 km2),Private act,1909,West
Sardis,Henderson County,381,2.4 sq mi (6.2 km2),Private act,1859,West
Saulsbury,Hardeman County,81,0.36 sq mi (0.93 km2),Private act,1849,West
Savannah,Hardin County,"6,982",6.52 sq mi (16.9 km2),Private act,1833,West
Scotts Hill,Henderson County,984,3.77 sq mi (9.8 km2),Private act,1917,West
Selmer,McNairy County,"4,396",9.79 sq mi (25.4 km2),Private act,1901,West
Sevierville,Sevier County,"14,807",24.24 sq mi (62.8 km2),Home rule,1795,East
Sharon,Weakley County,944,1.13 sq mi (2.9 km2),Private act,1901,West
Shelbyville,Bedford County,"20,335",18.61 sq mi (48.2 km2),Private act,1819,Middle
Signal Mountain,Hamilton County,"7,554",7.66 sq mi (19.8 km2),Private act,1919,East
Silerton,Hardeman County,111,0.66 sq mi (1.7 km2),Private act,1923,West
Slayden,Dickson County,178,1.34 sq mi (3.5 km2),Private act,1913,Middle
Smithville,DeKalb County,"4,530",5.91 sq mi (15.3 km2),Private act,1843,Middle
Smyrna,Rutherford County,"39,974",29.71 sq mi (76.9 km2),Private act,1869,Middle
Sneedville,Hancock County,"1,387",2.3 sq mi (6.0 km2),Mayor-alderman,1850,East
Soddy-Daisy,Hamilton County,"12,714",23.44 sq mi (60.7 km2),Uniform manager-commission,1969,East
Somerville,Fayette County,"3,094",12.53 sq mi (32.5 km2),Private act,1854,West
South Carthage,Smith County,"1,322",2.71 sq mi (7.0 km2),Mayor-alderman,1963,Middle
South Fulton,Obion County,"2,354",3.3 sq mi (8.5 km2),Uniform manager-commission,1903,West
South Pittsburg,Marion County,"2,992",6 sq mi (16 km2),Private act,1901,East
Sparta,White County,"4,925",6.74 sq mi (17.5 km2),Private act,1841,Middle
Spencer,Van Buren County,"1,601",6.87 sq mi (17.8 km2),Private act,1846,Middle
Spring City,Rhea County,"1,981",2.64 sq mi (6.8 km2),Uniform manager-commission,1953,East
Spring Hill,Maury County,"29,036",27.11 sq mi (70.2 km2),Mayor-alderman,1837,Middle
Springfield,Robertson County,"16,440",13.34 sq mi (34.6 km2),Private act,1796,Middle
Stanton,Haywood County,452,0.51 sq mi (1.3 km2),Private act,1927,West
Stantonville,McNairy County,283,1.11 sq mi (2.9 km2),Mayor-alderman,1966,West
Sunbright,Morgan County,552,3.78 sq mi (9.8 km2),Mayor-alderman,1990,East
Surgoinsville,Hawkins County,"1,801",5.61 sq mi (14.5 km2),Mayor-alderman,1815,East
Sweetwater,Monroe County,"5,764",8.52 sq mi (22.1 km2),Home rule,1901,East
Tazewell,Claiborne County,"2,218",4.43 sq mi (11.5 km2),Mayor-alderman,1801,East
Tellico Plains,Monroe County,880,1.94 sq mi (5.0 km2),Private act,1911,East
Tennessee Ridge,Houston County,"1,368",3.71 sq mi (9.6 km2),Uniform manager-commission,1960,Middle
Thompson's Station,Williamson County,"2,194",18.76 sq mi (48.6 km2),Mayor-alderman,1990,West
Three Way,Madison County,"1,709",4.54 sq mi (11.8 km2),Mayor-alderman,1998,West
Tiptonville,Lake County,"4,464",2.05 sq mi (5.3 km2),Private act,1907,West
Toone,Hardeman County,364,1.05 sq mi (2.7 km2),Private act,1903,West
Townsend,Blount County,448,2.17 sq mi (5.6 km2),Private act,1921,East
Tracy City,Grundy County,"1,481",4.91 sq mi (12.7 km2),Private act,1915,Middle
Trenton,Gibson County,"4,264",8.2 sq mi (21 km2),Private act,1846,West
Trezevant,Carroll County,859,1.39 sq mi (3.6 km2),Private act,1911,West
Trimble,Dyer County,637,0.65 sq mi (1.7 km2),Private act,1905,West
Troy,Obion County,"1,371",1.49 sq mi (3.9 km2),Private act,1901,West
Tullahoma,Coffee County,"18,655",23.56 sq mi (61.0 km2),Private act,1858,Middle
